rank	id	cosine_score	matched_peak_count	dot_product	reference_norm_square	accession_id	name	smiles	inchikey	formula	precursor_mz	precursor_type	splash	ms_type	ion_mode	collision_energy	retention_time	ac_instrument	instrument_type	ionization	ionization_voltage	fragmentation_mode
1	56512	0.9999992822926124	23	1083550794.0	324347382815.77997	MSBNK-LCSB-LU119906	Caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	90	11.252 min	Q Exactive Orbitrap (Thermo Scientific)	LC-ESI-QFT			
2	24331	0.8439829230471244	12	620168575.1999999	149163793193.87	MSBNK-Eawag-EA030307	Caffeine	c12c(n(c(=O)n(c1=O)C)C)ncn2C	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	90 % (nominal)	4.0 min	LTQ Orbitrap XL Thermo Scientific	LC-ESI-ITFT			
3	56687	0.8407195519287672	23	1574515967.5	968953796100.1	MSBNK-LCSB-LU119905	Caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	75	11.252 min	Q Exactive Orbitrap (Thermo Scientific)	LC-ESI-QFT			
4	24883	0.8250995965749275	13	337399526.3	46194195988.15	MSBNK-Eawag-EA030313	Caffeine	c12c(n(c(=O)n(c1=O)C)C)ncn2C	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	90 % (nominal)	4.0 min	LTQ Orbitrap XL Thermo Scientific	LC-ESI-ITFT			
5	101528	0.8173842214997077	17	84143.5	2927.5200000000004	MSBNK-BAFG-CSL2311094663	Caffeine	Cn1cnc2N(C)C(=O)N(C)C(=O)c12	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	40	5.509 min	TripleTOF 5600 SCIEX	LC-ESI-QTOF			
6	100850	0.748688203275691	18	94925.7	4440.96	MSBNK-BAFG-CSL2311094281	Pentoxifylline	Cn1cnc2N(C)C(=O)N(CCCCC(C)=O)C(=O)c12	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	C13H18N4O3	279.145	[M+H]+		MS2	POSITIVE	60	6.772 min	TripleTOF 5600 SCIEX	LC-ESI-QTOF			
7	101087	0.7320116555265582	16	64294.9	2131.2200000000003	MSBNK-BAFG-CSL2311094657	Caffeine	Cn1cnc2N(C)C(=O)N(C)C(=O)c12	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	40	5.509 min	TripleTOF 5600 SCIEX	LC-ESI-QTOF			
8	105280	0.707862264366526	11	31045.0	531.37	MSBNK-BAFG-CSL23111011633	Isocaffeine	CN1C=NC2=C1N(C(=O)N(C2=O)C)C	LPHGQDQBBGAPDZ-UHFFFAOYSA-N	C8H10N4O2	195.088	[M+H]+		MS2	POSITIVE	40	4.729 min	TripleTOF 5600 SCIEX	LC-ESI-QTOF			
9	46071	0.6979537980716364	13	25620465.638	372247605.1354634	MSBNK-Fiocruz-FIO00571	Caffeine	Cn(c2)c(C(=O)1)c(n2)N(C)C(=O)N(C)1	RYYVLZVUVIJVGH-UHFFFAOYSA-N	C8H10N4O2		[M+H]+		MS2	POSITIVE	40 eV		maXis (Bruker Daltonics)	LC-ESI-QTOF			
10	101561	0.6804929175047493	15	139291.0	11574.71	MSBNK-BAFG-CSL2311094294	Pentoxifylline	Cn1cnc2N(C)C(=O)N(CCCCC(C)=O)C(=O)c12	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	C13H18N4O3	279.145	[M+H]+		MS2	POSITIVE	50	6.772 min	TripleTOF 5600 SCIEX	LC-ESI-QTOF			
